itemid,one-liner,year
001-218933,"['Significant flaws in criminal investigation concerning alleged\n', 'sexual harassment at the workplace: violation\n', 'C. v. Romania, no. 47358/20, 30 August 2022\n', 'Judgment | Legal summary\n']",2022
001-231227,"['ARTICLE 14\n', 'DISCRIMINATION\n', 'Decrees in Flemish and Walloon Regions prohibiting animal\n', 'slaughter without prior stunning, while providing for reversible\n', 'stunning in ritual slaughter: no violation\n', 'Executief van de Moslims van België and Others v. Belgium,\n', 'no. 16760/22 et al., 13 February 2024\n', 'Judgment | Legal summary\n']",2024
001-222654,"['ARTICLE 46\n', 'GENERAL MEASURES (PILOT JUDGMENT)\n', 'Respondent State required to take rapid and adequate measures\n', 'to address systemic and interrelated problems connected with\n', 'the malfunctioning of domestic legislation and practice\n', 'Wałęsa v. Poland, no. 50849/21, 23 November 2023\n', 'Judgment | Legal summary\n']",2023
001-194618,"['Scope of a State’s procedural obligation to co-operate with another State\n', 'investigating a murder committed within the latter’s jurisdiction: violation\n', 'Romeo Castaño v. Belgium, no.\u202f8351/17, 9\xa0July 2019\n', 'Judgment | Legal summary\n']",2019
001-204996,"['10\u2003 \u2003 Key cases 2020\u2002 \u2002 Cases by Article\n', 'ARTICLE 34\n', 'VICTIM\n', 'Impact on individual shareholders of legislation putting banks\n', 'under central supervising authorities and resulting in significant\n', 'loss of their operational autonomy: inadmissible\n', 'Albert and Others v. Hungary [GC], no. 5294/14, 7 July 2020\n', 'Judgment | Legal summary\n']",2020
001-206897,"['ARTICLE 18\n', 'RESTRICTIONS FOR UNAUTHORISED PURPOSES\n', 'Member of parliament prevented from discharging his duties as a result of his\n', 'prolonged pre-trial detention, for the purpose of stifling pluralism: violation\n', 'Selahattin Demirtaş v. Turkey (no. 2) [GC], no. 14305/17,\n', '22 December 2020\n', 'Judgment | Legal summary\n']",2020
001-234151,"['Alleged discrimination between patients dependent on life-\n', 'sustaining treatment and those patients who were not, and\n', 'consequently could not hasten their death by refusing such\n', 'treatment: no violation\n', 'Dániel Karsai v. Hungary, no. 32312/23, 13 June 2024\n', 'Judgment | Legal summary\n']",2024
001-207115,"['6\u2003 \u2003 Key cases 2020\u2002 \u2002 Cases by Article\n', 'ARTICLE 6\n', 'ARTICLE 6 § 1 (criminal)\n', 'CRIMINAL CHARGE\n', 'EUR 6,200 fine without possible imprisonment for defence\n', 'counsels’ non-attendance at hearing not “criminal”, despite absence\n', 'of an upper statutory limit on its amount: inadmissible\n', 'Gestur Jónsson and Ragnar Halldór Hall v. Iceland [GC],\n', 'nos. 68271/14 and 68273/14, 22 December 2020\n', 'Judgment | Legal summary\n']",2020
001-210363,"['Article 5 § 4\n', 'REVIEW OF LAWFULNESS OF DETENTION | SPEEDINESS OF REVIEW\n', 'Three-year probationary period requisite for discharge\n', 'from compulsory confinement not decisive in view of the\n', 'offenders’ persisting mental disorders: no\xa0violation\n', 'Denis and Irvine v. Belgium [GC], nos. 62819/17 and 63921/17, 1 June 2021\n', 'Judgment | Legal summary\n']",2021
001-207927,"['ARTICLE 4\n', 'TRAFFICKING IN HUMAN BEINGS | POSITIVE OBLIGATIONS\n', 'Domestic authorities’ failure to take operational measures in line\n', 'with international standards to protect minors prosecuted despite\n', 'credible suspicion they were trafficking victims: violation\n', 'V.C.L. and A.N. v. the United Kingdom, nos. 77587/12\n', 'and 74603/12, 16 February 2021\n', 'Judgment | Legal summary\n']",2021
001-222410,"['ARTICLE 41\n', 'JUST SATISFACTION\n', 'Award of non-pecuniary damages to applicant Government, for\n', 'benefit of identified victims, based only on evidence submitted by it in\n', 'view of respondent Government’s failure to participate in proceedings\n', 'Georgia v. Russia (II) (just satisfaction) [GC], no. 38263/08, 28 April 2023\n', 'Judgment | Legal summary\n']",2023
001-218512,"['DEGRADING TREATMENT\n', 'Body searches of refugees arriving on a Greek island after their\n', 'boat had sunk, who were ordered by the security forces to\n', 'undress at the same time and in the same place, in front of at\n', 'least thirteen people: violation\n', 'Safi and Others v. Greece, no. 5418/15, 7 July 2022\n', 'Judgment | Legal summary\n']",2022
